PdDistrict,Date,IncidntNum
TENDERLOIN,08/23/2016,30
CENTRAL,05/23/2016,64
TENDERLOIN,10/28/2016,13
INGLESIDE,02/06/2016,41
RICHMOND,10/10/2016,24
NORTHERN,10/21/2016,54
NORTHERN,03/10/2016,39
SOUTHERN,01/14/2016,66
PARK,07/19/2016,19
TARAVAL,09/01/2016,79
INGLESIDE,02/16/2016,40
TARAVAL,12/14/2016,41
BAYVIEW,06/05/2016,33
INGLESIDE,06/25/2016,20
CENTRAL,08/15/2016,55
RICHMOND,06/27/2016,22
TARAVAL,06/04/2016,31
BAYVIEW,03/17/2016,52
MISSION,12/07/2016,45
BAYVIEW,12/20/2016,44
MISSION,09/08/2016,42
CENTRAL,03/15/2016,31
TARAVAL,06/14/2016,18
PARK,11/27/2016,19
INGLESIDE,08/19/2016,39
BAYVIEW,06/22/2016,40
RICHMOND,04/10/2016,22
NORTHERN,10/06/2016,55
NORTHERN,05/11/2016,31
INGLESIDE,05/09/2016,30
NORTHERN,07/07/2016,52
TARAVAL,03/14/2016,49
NORTHERN,07/10/2016,52
CENTRAL,09/26/2016,52
TENDERLOIN,01/24/2016,33
TARAVAL,11/24/2016,26
BAYVIEW,04/20/2016,56
SOUTHERN,03/08/2016,73
INGLESIDE,01/05/2016,40
CENTRAL,07/29/2016,43
TARAVAL,06/23/2016,25
MISSION,02/14/2016,46
TARAVAL,10/13/2016,36
INGLESIDE,09/13/2016,30
CENTRAL,07/23/2016,67
PARK,04/20/2016,72
PARK,12/20/2016,18
TENDERLOIN,11/29/2016,25
RICHMOND,07/01/2016,28
BAYVIEW,11/27/2016,32
PARK,06/22/2016,25
SOUTHERN,10/26/2016,86
MISSION,06/28/2016,38
RICHMOND,07/27/2016,32
PARK,02/09/2016,28
MISSION,05/01/2016,59
TENDERLOIN,02/21/2016,20
INGLESIDE,06/11/2016,29
TARAVAL,06/26/2016,24
INGLESIDE,04/24/2016,38
RICHMOND,02/07/2016,18
MISSION,03/13/2016,40
INGLESIDE,05/07/2016,45
NORTHERN,05/19/2016,43
RICHMOND,01/30/2016,31
NORTHERN,09/18/2016,69
NORTHERN,04/15/2016,62
RICHMOND,10/08/2016,34
INGLESIDE,11/25/2016,30
CENTRAL,12/27/2016,57
BAYVIEW,05/22/2016,37
PARK,10/03/2016,25
CENTRAL,10/09/2016,47
NORTHERN,02/22/2016,53
INGLESIDE,07/13/2016,28
RICHMOND,04/22/2016,35
BAYVIEW,10/03/2016,45
RICHMOND,09/02/2016,16
PARK,05/22/2016,30
RICHMOND,07/15/2016,25
BAYVIEW,02/09/2016,42
MISSION,02/08/2016,56
TENDERLOIN,09/14/2016,22
TARAVAL,12/23/2016,31
PARK,10/22/2016,16
MISSION,01/28/2016,46
TARAVAL,07/03/2016,32
PARK,09/21/2016,29
SOUTHERN,03/19/2016,75
INGLESIDE,06/21/2016,23
PARK,07/05/2016,15
INGLESIDE,05/10/2016,32
CENTRAL,10/15/2016,64
TARAVAL,05/30/2016,23
TARAVAL,01/21/2016,46
RICHMOND,11/10/2016,29
NORTHERN,04/11/2016,59
BAYVIEW,07/05/2016,42
SOUTHERN,12/03/2016,81
TARAVAL,01/12/2016,46
RICHMOND,01/03/2016,17
RICHMOND,07/02/2016,15
TARAVAL,12/10/2016,24
TENDERLOIN,08/06/2016,22
CENTRAL,12/26/2016,39
BAYVIEW,10/22/2016,46
INGLESIDE,01/10/2016,32
NORTHERN,05/25/2016,69
BAYVIEW,09/21/2016,39
BAYVIEW,12/12/2016,40
TENDERLOIN,03/11/2016,25
TARAVAL,06/29/2016,34
INGLESIDE,08/25/2016,22
CENTRAL,05/05/2016,41
RICHMOND,10/25/2016,24
SOUTHERN,08/13/2016,87
SOUTHERN,10/30/2016,74
NORTHERN,04/17/2016,51
INGLESIDE,09/24/2016,33
INGLESIDE,08/07/2016,41
SOUTHERN,07/21/2016,70
TENDERLOIN,05/04/2016,45
TENDERLOIN,09/22/2016,22
CENTRAL,06/24/2016,60
SOUTHERN,04/01/2016,110
RICHMOND,02/03/2016,21
TARAVAL,02/19/2016,33
MISSION,11/18/2016,53
MISSION,09/03/2016,73
SOUTHERN,12/18/2016,77
CENTRAL,04/12/2016,41
SOUTHERN,10/27/2016,81
MISSION,12/08/2016,51
PARK,12/12/2016,22
INGLESIDE,03/20/2016,26
SOUTHERN,12/01/2016,68
SOUTHERN,12/22/2016,98
INGLESIDE,11/12/2016,45
TARAVAL,12/15/2016,37
INGLESIDE,01/17/2016,30
TENDERLOIN,11/28/2016,21
NORTHERN,10/05/2016,47
RICHMOND,12/11/2016,22
NORTHERN,07/04/2016,62
PARK,11/30/2016,19
MISSION,04/23/2016,54
CENTRAL,07/17/2016,52
PARK,09/27/2016,33
TENDERLOIN,06/12/2016,20
TARAVAL,07/25/2016,21
TENDERLOIN,06/09/2016,26
TARAVAL,07/20/2016,29
SOUTHERN,04/13/2016,81
MISSION,10/07/2016,73
CENTRAL,07/16/2016,63
SOUTHERN,07/09/2016,95
RICHMOND,01/26/2016,22
TENDERLOIN,01/08/2016,30
BAYVIEW,09/27/2016,56
NORTHERN,11/07/2016,72
INGLESIDE,10/20/2016,23
TARAVAL,01/22/2016,42
TENDERLOIN,01/07/2016,32
BAYVIEW,11/30/2016,55
INGLESIDE,10/12/2016,38
SOUTHERN,02/27/2016,98
MISSION,06/07/2016,43
SOUTHERN,05/27/2016,92
CENTRAL,02/25/2016,43
MISSION,10/27/2016,87
TENDERLOIN,11/19/2016,27
MISSION,12/18/2016,47
NORTHERN,11/30/2016,32
PARK,07/04/2016,19
SOUTHERN,09/03/2016,83
SOUTHERN,11/18/2016,115
RICHMOND,01/10/2016,16
TARAVAL,05/29/2016,36
BAYVIEW,11/07/2016,32
MISSION,12/01/2016,55
MISSION,12/22/2016,65
INGLESIDE,01/03/2016,26
SOUTHERN,12/08/2016,52
INGLESIDE,07/02/2016,27
NORTHERN,09/27/2016,49
CENTRAL,10/01/2016,45
RICHMOND,05/10/2016,32
RICHMOND,06/21/2016,18
CENTRAL,07/18/2016,49
PARK,11/07/2016,23
MISSION,08/13/2016,46
MISSION,10/30/2016,64
CENTRAL,08/17/2016,45
INGLESIDE,11/10/2016,29
TENDERLOIN,07/12/2016,29
TARAVAL,05/12/2016,32
TARAVAL,01/19/2016,34
MISSION,04/01/2016,52
BAYVIEW,07/04/2016,30
CENTRAL,12/19/2016,56
MISSION,07/21/2016,41
BAYVIEW,10/05/2016,42
PARK,04/17/2016,27
CENTRAL,02/26/2016,50
CENTRAL,07/22/2016,54
TENDERLOIN,01/15/2016,25
SOUTHERN,10/07/2016,96
MISSION,07/09/2016,46
SOUTHERN,06/07/2016,72
MISSION,05/27/2016,44
TARAVAL,11/14/2016,37
TARAVAL,01/23/2016,34
INGLESIDE,04/22/2016,29
RICHMOND,07/13/2016,20
TENDERLOIN,02/10/2016,45
MISSION,02/27/2016,44
TENDERLOIN,11/26/2016,33
INGLESIDE,07/15/2016,33
TENDERLOIN,09/29/2016,22
INGLESIDE,09/02/2016,32
INGLESIDE,01/30/2016,35
RICHMOND,05/07/2016,27
SOUTHERN,04/23/2016,82
TENDERLOIN,11/21/2016,23
INGLESIDE,10/08/2016,27
CENTRAL,05/21/2016,47
RICHMOND,11/25/2016,16
CENTRAL,11/04/2016,66
BAYVIEW,04/17/2016,36
PARK,10/05/2016,22
TENDERLOIN,07/28/2016,17
MISSION,04/13/2016,53
INGLESIDE,07/27/2016,34
RICHMOND,06/11/2016,19
TENDERLOIN,03/12/2016,26
CENTRAL,03/16/2016,41
RICHMOND,04/24/2016,18
INGLESIDE,02/07/2016,34
NORTHERN,12/12/2016,72
NORTHERN,09/21/2016,40
BAYVIEW,05/25/2016,29
RICHMOND,10/12/2016,20
TENDERLOIN,04/07/2016,17
NORTHERN,10/22/2016,60
SOUTHERN,02/08/2016,68
INGLESIDE,01/26/2016,44
TENDERLOIN,09/17/2016,21
RICHMOND,10/20/2016,28
NORTHERN,07/05/2016,79
CENTRAL,05/08/2016,37
BAYVIEW,04/11/2016,40
SOUTHERN,05/01/2016,77
PARK,04/11/2016,19
PARK,05/25/2016,21
TENDERLOIN,08/03/2016,20
SOUTHERN,03/13/2016,46
CENTRAL,04/05/2016,44
CENTRAL,12/21/2016,37
RICHMOND,03/20/2016,28
RICHMOND,01/17/2016,31
RICHMOND,11/12/2016,22
MISSION,12/03/2016,53
INGLESIDE,12/11/2016,22
NORTHERN,02/09/2016,49
NORTHERN,10/03/2016,59
PARK,04/15/2016,40
PARK,09/18/2016,18
CENTRAL,11/13/2016,49
BAYVIEW,02/22/2016,46
PARK,05/19/2016,28
NORTHERN,05/22/2016,47
MISSION,03/19/2016,61
BAYVIEW,04/15/2016,43
BAYVIEW,09/18/2016,40
SOUTHERN,01/28/2016,80
PARK,02/22/2016,29
INGLESIDE,02/03/2016,32
TARAVAL,12/16/2016,37
TARAVAL,03/07/2016,25
BAYVIEW,05/19/2016,37
RICHMOND,08/25/2016,20
TARAVAL,02/15/2016,30
INGLESIDE,10/25/2016,23
RICHMOND,08/07/2016,51
RICHMOND,09/24/2016,37
PARK,03/07/2016,28
PARK,12/16/2016,20
TARAVAL,02/22/2016,24
TENDERLOIN,08/21/2016,26
RICHMOND,01/11/2016,16
MISSION,10/18/2016,79
CENTRAL,02/13/2016,51
TENDERLOIN,11/17/2016,21
MISSION,11/22/2016,83
RICHMOND,11/01/2016,21
SOUTHERN,03/27/2016,57
INGLESIDE,08/28/2016,17
PARK,02/15/2016,24
INGLESIDE,08/14/2016,32
RICHMOND,06/19/2016,19
CENTRAL,06/08/2016,36
CENTRAL,08/04/2016,39
BAYVIEW,02/15/2016,45
CENTRAL,03/04/2016,55
NORTHERN,06/26/2016,65
CENTRAL,11/08/2016,36
TARAVAL,05/19/2016,25
BAYVIEW,03/07/2016,32
BAYVIEW,12/16/2016,42
SOUTHERN,10/14/2016,77
TARAVAL,04/15/2016,36
TARAVAL,09/18/2016,26
TARAVAL,04/11/2016,27
INGLESIDE,06/16/2016,32
TENDERLOIN,06/17/2016,28
NORTHERN,01/12/2016,54
SOUTHERN,02/04/2016,88
INGLESIDE,11/09/2016,37
SOUTHERN,12/02/2016,93
INGLESIDE,10/17/2016,24
TENDERLOIN,10/24/2016,26
RICHMOND,03/22/2016,26
NORTHERN,12/10/2016,61
INGLESIDE,05/28/2016,28
TENDERLOIN,12/17/2016,21
MISSION,06/01/2016,56
SOUTHERN,01/02/2016,83
TARAVAL,05/25/2016,27
NORTHERN,12/23/2016,66
CENTRAL,07/06/2016,51
INGLESIDE,09/28/2016,25
NORTHERN,07/03/2016,63
CENTRAL,05/17/2016,48
RICHMOND,01/01/2016,32
RICHMOND,10/29/2016,33
MISSION,07/14/2016,42
RICHMOND,01/06/2016,26
NORTHERN,01/21/2016,44
NORTHERN,05/30/2016,65
RICHMOND,05/14/2016,22
MISSION,04/09/2016,40
SOUTHERN,01/04/2016,70
BAYVIEW,01/23/2016,51
BAYVIEW,11/14/2016,32
SOUTHERN,03/23/2016,81
NORTHERN,12/15/2016,36
TENDERLOIN,06/25/2016,29
TENDERLOIN,02/16/2016,30
MISSION,09/11/2016,67
MISSION,05/26/2016,45
TARAVAL,10/05/2016,24
SOUTHERN,08/24/2016,71
NORTHERN,06/29/2016,61
TENDERLOIN,01/09/2016,20
INGLESIDE,08/05/2016,27
TARAVAL,04/17/2016,19
RICHMOND,04/14/2016,22
TENDERLOIN,02/06/2016,29
RICHMOND,03/30/2016,19
PARK,11/14/2016,37
PARK,01/23/2016,36
INGLESIDE,10/28/2016,31
INGLESIDE,08/23/2016,35
NORTHERN,02/19/2016,52
SOUTHERN,11/16/2016,63
TENDERLOIN,09/13/2016,27
TARAVAL,11/07/2016,28
TENDERLOIN,01/05/2016,47
BAYVIEW,05/29/2016,27
RICHMOND,11/15/2016,31
NORTHERN,01/22/2016,44
PARK,01/19/2016,28
INGLESIDE,11/29/2016,42
PARK,05/12/2016,20
MISSION,03/05/2016,39
TENDERLOIN,08/19/2016,22
SOUTHERN,02/20/2016,85
CENTRAL,11/06/2016,58
SOUTHERN,08/11/2016,79
TARAVAL,07/04/2016,18
SOUTHERN,10/31/2016,84
BAYVIEW,01/19/2016,36
RICHMOND,04/08/2016,26
BAYVIEW,05/12/2016,46
CENTRAL,05/03/2016,31
NORTHERN,07/25/2016,46
RICHMOND,08/29/2016,24
INGLESIDE,01/24/2016,40
NORTHERN,07/20/2016,55
TENDERLOIN,05/09/2016,21
PARK,05/29/2016,26
BAYVIEW,07/20/2016,51
CENTRAL,08/08/2016,53
INGLESIDE,01/01/2016,63
INGLESIDE,10/29/2016,29
TENDERLOIN,03/31/2016,28
INGLESIDE,01/06/2016,27
CENTRAL,02/01/2016,69
INGLESIDE,05/14/2016,31
BAYVIEW,07/25/2016,32
TENDERLOIN,08/31/2016,30
CENTRAL,09/07/2016,36
NORTHERN,05/12/2016,51
TENDERLOIN,03/24/2016,41
TENDERLOIN,09/12/2016,22
RICHMOND,09/28/2016,29
NORTHERN,01/19/2016,38
PARK,01/22/2016,37
RICHMOND,05/28/2016,28
INGLESIDE,03/22/2016,40
CENTRAL,11/03/2016,42
TARAVAL,11/30/2016,36
BAYVIEW,01/22/2016,40
MISSION,01/04/2016,34
NORTHERN,05/29/2016,60
RICHMOND,06/16/2016,29
PARK,07/20/2016,14
SOUTHERN,09/11/2016,69
SOUTHERN,05/26/2016,64
MISSION,08/24/2016,63
RICHMOND,11/09/2016,24
RICHMOND,10/17/2016,35
TARAVAL,09/27/2016,16
MISSION,03/23/2016,49
PARK,07/25/2016,26
BAYVIEW,02/19/2016,26
CENTRAL,02/11/2016,40
CENTRAL,03/29/2016,50
MISSION,02/20/2016,30
MISSION,08/11/2016,50
MISSION,10/31/2016,78
SOUTHERN,03/05/2016,45
CENTRAL,07/24/2016,38
PARK,12/15/2016,18
BAYVIEW,06/29/2016,34
TARAVAL,12/12/2016,37
RICHMOND,08/28/2016,28
INGLESIDE,11/01/2016,38
CENTRAL,08/01/2016,66
MISSION,11/16/2016,79
BAYVIEW,12/15/2016,44
INGLESIDE,06/19/2016,18
RICHMOND,08/14/2016,14
PARK,06/29/2016,15
PARK,02/19/2016,27
INGLESIDE,01/11/2016,26
TENDERLOIN,08/26/2016,19
NORTHERN,11/14/2016,45
NORTHERN,01/23/2016,93
CENTRAL,12/05/2016,39
INGLESIDE,08/29/2016,27
CENTRAL,12/25/2016,32
RICHMOND,01/24/2016,15
BAYVIEW,01/21/2016,36
BAYVIEW,05/30/2016,24
PARK,01/12/2016,29
CENTRAL,01/16/2016,57
TENDERLOIN,04/10/2016,30
BAYVIEW,07/03/2016,32
MISSION,10/14/2016,62
INGLESIDE,04/08/2016,35
CENTRAL,03/18/2016,57
BAYVIEW,12/23/2016,41
PARK,12/10/2016,25
TARAVAL,09/21/2016,42
PARK,07/03/2016,23
SOUTHERN,11/22/2016,62
TARAVAL,10/22/2016,32
TENDERLOIN,07/01/2016,30
SOUTHERN,10/18/2016,58
CENTRAL,01/13/2016,40
RICHMOND,11/29/2016,40
PARK,12/23/2016,30
BAYVIEW,12/10/2016,26
PARK,05/30/2016,21
PARK,01/21/2016,36
BAYVIEW,01/12/2016,41
INGLESIDE,11/15/2016,45
TARAVAL,07/05/2016,38
MISSION,03/27/2016,70
INGLESIDE,03/30/2016,33
TARAVAL,05/22/2016,28
RICHMOND,10/28/2016,29
NORTHERN,12/16/2016,57
RICHMOND,08/23/2016,13
NORTHERN,03/07/2016,60
SOUTHERN,04/09/2016,72
BAYVIEW,06/26/2016,28
RICHMOND,08/05/2016,29
NORTHERN,02/15/2016,61
SOUTHERN,07/14/2016,75
INGLESIDE,04/14/2016,33
TENDERLOIN,06/27/2016,23
MISSION,12/02/2016,41
PARK,06/26/2016,20
MISSION,02/04/2016,53
CENTRAL,05/02/2016,51
TARAVAL,02/09/2016,36
CENTRAL,04/04/2016,48
CENTRAL,03/21/2016,44
TARAVAL,10/03/2016,34
SOUTHERN,06/01/2016,92
MISSION,01/02/2016,74
TENDERLOIN,10/10/2016,40
CENTRAL,02/28/2016,32
INGLESIDE,07/08/2016,25
NORTHERN,08/01/2016,86
TARAVAL,02/26/2016,36
TARAVAL,07/22/2016,28
RICHMOND,01/27/2016,24
CENTRAL,11/14/2016,43
CENTRAL,01/23/2016,58
MISSION,08/06/2016,44
NORTHERN,12/05/2016,65
INGLESIDE,05/16/2016,38
NORTHERN,02/11/2016,43
TENDERLOIN,01/28/2016,25
NORTHERN,03/29/2016,58
TARAVAL,05/21/2016,34
INGLESIDE,06/30/2016,37
TARAVAL,11/04/2016,28
RICHMOND,08/18/2016,20
RICHMOND,02/05/2016,40
NORTHERN,07/24/2016,65
TARAVAL,03/16/2016,34
TARAVAL,02/25/2016,25
NORTHERN,11/03/2016,58
INGLESIDE,04/16/2016,18
SOUTHERN,04/07/2016,107
PARK,11/06/2016,28
CENTRAL,05/29/2016,77
INGLESIDE,10/04/2016,45
SOUTHERN,09/17/2016,81
MISSION,09/14/2016,52
TENDERLOIN,02/08/2016,22
INGLESIDE,04/30/2016,50
RICHMOND,06/10/2016,31
TARAVAL,10/01/2016,38
PARK,05/03/2016,14
NORTHERN,08/08/2016,58
INGLESIDE,03/09/2016,27
TARAVAL,07/18/2016,21
INGLESIDE,02/29/2016,36
MISSION,02/21/2016,59
NORTHERN,02/01/2016,65
TARAVAL,08/17/2016,23
BAYVIEW,05/03/2016,36
TENDERLOIN,05/01/2016,42
NORTHERN,09/07/2016,33
CENTRAL,05/12/2016,34
CENTRAL,01/19/2016,37
BAYVIEW,11/06/2016,33
RICHMOND,05/24/2016,23
TENDERLOIN,03/13/2016,31
SOUTHERN,08/03/2016,97
TARAVAL,12/19/2016,29
PARK,11/08/2016,31
INGLESIDE,04/18/2016,28
RICHMOND,09/16/2016,30
PARK,03/04/2016,33
SOUTHERN,01/15/2016,95
NORTHERN,05/02/2016,41
PARK,08/04/2016,20
MISSION,01/08/2016,50
PARK,06/08/2016,14
NORTHERN,04/04/2016,45
TENDERLOIN,10/07/2016,22
TENDERLOIN,06/07/2016,26
NORTHERN,03/21/2016,49
SOUTHERN,11/26/2016,70
NORTHERN,02/28/2016,46
SOUTHERN,02/10/2016,70
BAYVIEW,02/13/2016,41
TARAVAL,11/13/2016,18
MISSION,01/07/2016,38
SOUTHERN,09/29/2016,90
SOUTHERN,11/21/2016,55
TENDERLOIN,04/23/2016,30
PARK,02/13/2016,27
CENTRAL,12/16/2016,60
CENTRAL,03/07/2016,40
SOUTHERN,07/28/2016,81
BAYVIEW,11/08/2016,34
BAYVIEW,03/04/2016,51
MISSION,06/09/2016,53
SOUTHERN,03/12/2016,74
CENTRAL,02/15/2016,43
BAYVIEW,06/08/2016,35
MISSION,06/12/2016,39
BAYVIEW,08/04/2016,26
PARK,05/17/2016,15
SOUTHERN,11/19/2016,81
TENDERLOIN,09/03/2016,36
NORTHERN,01/13/2016,40
PARK,07/06/2016,22
TENDERLOIN,11/18/2016,37
INGLESIDE,10/02/2016,42
RICHMOND,08/27/2016,29
MISSION,11/28/2016,62
TARAVAL,05/08/2016,35
RICHMOND,06/03/2016,22
TENDERLOIN,12/08/2016,29
RICHMOND,04/06/2016,23
RICHMOND,08/12/2016,25
NORTHERN,12/25/2016,44
INGLESIDE,05/06/2016,43
SOUTHERN,07/12/2016,63
MISSION,03/11/2016,39
NORTHERN,01/16/2016,75
BAYVIEW,05/17/2016,38
NORTHERN,03/18/2016,58
TARAVAL,04/05/2016,28
TARAVAL,12/21/2016,24
BAYVIEW,07/06/2016,30
MISSION,09/22/2016,40
MISSION,05/04/2016,51
RICHMOND,05/18/2016,16
CENTRAL,12/23/2016,60
NORTHERN,07/06/2016,68
PARK,01/13/2016,21
BAYVIEW,03/18/2016,53
INGLESIDE,05/24/2016,30
CENTRAL,07/03/2016,47
BAYVIEW,01/16/2016,36
MISSION,11/21/2016,62
NORTHERN,05/17/2016,55
RICHMOND,03/09/2016,21
SOUTHERN,06/12/2016,84
TARAVAL,10/15/2016,29
SOUTHERN,06/09/2016,65
MISSION,03/12/2016,37
CENTRAL,01/21/2016,50
BAYVIEW,12/25/2016,25
CENTRAL,05/30/2016,65
RICHMOND,02/29/2016,18
TENDERLOIN,04/13/2016,22
MISSION,07/28/2016,45
SOUTHERN,01/08/2016,84
TENDERLOIN,07/09/2016,16
RICHMOND,10/04/2016,33
CENTRAL,01/12/2016,45
MISSION,01/15/2016,37
RICHMOND,04/30/2016,25
INGLESIDE,06/10/2016,29
PARK,12/25/2016,7
TARAVAL,12/26/2016,29
BAYVIEW,01/13/2016,33
CENTRAL,12/10/2016,61
MISSION,09/29/2016,55
MISSION,11/26/2016,66
TENDERLOIN,02/27/2016,20
MISSION,02/10/2016,42
PARK,03/18/2016,29
SOUTHERN,01/07/2016,70
RICHMOND,04/16/2016,23
TENDERLOIN,05/27/2016,32
PARK,01/16/2016,30
MISSION,07/12/2016,58
NORTHERN,06/08/2016,49
PARK,04/04/2016,29
SOUTHERN,03/11/2016,80
NORTHERN,08/04/2016,47
INGLESIDE,02/05/2016,35
PARK,05/02/2016,31
INGLESIDE,08/18/2016,26
NORTHERN,03/04/2016,64
TENDERLOIN,08/13/2016,32
TENDERLOIN,10/30/2016,29
CENTRAL,06/26/2016,43
NORTHERN,11/08/2016,53
SOUTHERN,09/22/2016,94
TENDERLOIN,07/21/2016,29
SOUTHERN,05/04/2016,71
PARK,02/28/2016,21
TENDERLOIN,04/01/2016,41
RICHMOND,06/30/2016,27
PARK,03/21/2016,38
TARAVAL,10/09/2016,34
TARAVAL,12/27/2016,30
BAYVIEW,02/28/2016,64
NORTHERN,02/13/2016,60
TENDERLOIN,12/18/2016,17
MISSION,11/19/2016,47
TENDERLOIN,10/27/2016,31
RICHMOND,05/16/2016,31
BAYVIEW,03/21/2016,51
RICHMOND,07/08/2016,18
BAYVIEW,04/04/2016,44
BAYVIEW,05/02/2016,46
TENDERLOIN,12/01/2016,35
TENDERLOIN,12/22/2016,30
SOUTHERN,11/28/2016,66
INGLESIDE,01/27/2016,38
NORTHERN,11/06/2016,58
PARK,11/03/2016,21
INGLESIDE,05/18/2016,20
TARAVAL,07/17/2016,27
BAYVIEW,09/07/2016,66
TENDERLOIN,03/19/2016,23
NORTHERN,05/03/2016,56
CENTRAL,07/25/2016,56
BAYVIEW,02/01/2016,43
RICHMOND,05/06/2016,25
BAYVIEW,08/08/2016,19
CENTRAL,07/20/2016,27
TARAVAL,07/16/2016,17
INGLESIDE,08/27/2016,20
RICHMOND,10/02/2016,21
PARK,02/01/2016,24
TENDERLOIN,12/03/2016,20
INGLESIDE,04/06/2016,27
INGLESIDE,08/12/2016,31
INGLESIDE,06/03/2016,23
PARK,08/08/2016,24
CENTRAL,01/22/2016,62
SOUTHERN,08/06/2016,91
BAYVIEW,11/03/2016,55
,01/17/2016,1
PARK,09/07/2016,26
CENTRAL,06/29/2016,40
TARAVAL,05/05/2016,29
SOUTHERN,02/21/2016,65
BAYVIEW,07/24/2016,40
PARK,08/01/2016,33
TARAVAL,06/24/2016,29
PARK,12/05/2016,23
MISSION,08/03/2016,41
BAYVIEW,03/29/2016,51
BAYVIEW,02/11/2016,34
CENTRAL,02/19/2016,52
BAYVIEW,12/05/2016,52
MISSION,04/07/2016,39
TARAVAL,04/12/2016,36
PARK,03/29/2016,21
PARK,02/11/2016,22
RICHMOND,04/18/2016,27
INGLESIDE,09/16/2016,26
CENTRAL,12/15/2016,46
PARK,07/24/2016,20
BAYVIEW,08/01/2016,35
MISSION,09/17/2016,66
SOUTHERN,09/14/2016,66
INGLESIDE,02/02/2016,33
TARAVAL,02/11/2016,35
PARK,04/12/2016,18
TARAVAL,03/29/2016,36
NORTHERN,05/21/2016,51
BAYVIEW,06/24/2016,40
NORTHERN,11/04/2016,54
TENDERLOIN,04/09/2016,32
NORTHERN,03/16/2016,45
TARAVAL,07/24/2016,24
CENTRAL,12/12/2016,47
INGLESIDE,03/02/2016,34
BAYVIEW,05/05/2016,51
RICHMOND,11/23/2016,20
TENDERLOIN,07/14/2016,26
SOUTHERN,06/27/2016,59
TARAVAL,08/01/2016,32
MISSION,10/24/2016,64
NORTHERN,02/26/2016,49
RICHMOND,01/14/2016,19
NORTHERN,07/22/2016,56
PARK,05/05/2016,21
MISSION,06/17/2016,45
TENDERLOIN,06/01/2016,32
MISSION,12/17/2016,62
BAYVIEW,04/12/2016,42
INGLESIDE,12/28/2016,26
SOUTHERN,10/10/2016,75
TARAVAL,12/05/2016,37
PARK,06/24/2016,15
TARAVAL,08/08/2016,17
NORTHERN,07/18/2016,47
NORTHERN,08/17/2016,51
TARAVAL,02/01/2016,33
PARK,07/16/2016,29
SOUTHERN,04/10/2016,66
BAYVIEW,07/17/2016,23
TARAVAL,09/07/2016,24
NORTHERN,12/19/2016,67
PARK,07/17/2016,22
NORTHERN,02/25/2016,47
RICHMOND,10/26/2016,25
TENDERLOIN,11/22/2016,29
TARAVAL,11/03/2016,40
INGLESIDE,01/25/2016,34
MISSION,11/17/2016,77
CENTRAL,11/30/2016,44
MISSION,08/21/2016,50
TENDERLOIN,10/18/2016,38
SOUTHERN,07/01/2016,109
INGLESIDE,01/18/2016,32
INGLESIDE,08/02/2016,19
BAYVIEW,07/16/2016,33
CENTRAL,09/27/2016,54
NORTHERN,10/01/2016,60
RICHMOND,03/08/2016,23
CENTRAL,05/22/2016,24
INGLESIDE,12/07/2016,35
BAYVIEW,12/27/2016,52
INGLESIDE,09/08/2016,35
BAYVIEW,10/09/2016,49
RICHMOND,06/06/2016,19
MISSION,08/19/2016,51
RICHMOND,12/13/2016,18
TENDERLOIN,03/05/2016,20
MISSION,05/09/2016,46
RICHMOND,09/06/2016,12
MISSION,01/05/2016,47
TARAVAL,05/02/2016,25
INGLESIDE,02/14/2016,33
MISSION,09/13/2016,75
TARAVAL,04/04/2016,32
RICHMOND,12/04/2016,19
CENTRAL,02/09/2016,47
TARAVAL,03/21/2016,32
CENTRAL,10/03/2016,41
PARK,10/09/2016,18
PARK,12/27/2016,27
SOUTHERN,08/26/2016,69
NORTHERN,11/13/2016,42
TARAVAL,02/28/2016,35
INGLESIDE,06/28/2016,24
SOUTHERN,03/31/2016,120
TARAVAL,12/25/2016,17
RICHMOND,09/25/2016,30
BAYVIEW,10/15/2016,43
MISSION,01/09/2016,39
INGLESIDE,10/19/2016,25
SOUTHERN,03/24/2016,77
TARAVAL,01/16/2016,33
SOUTHERN,08/31/2016,76
SOUTHERN,09/12/2016,79
TARAVAL,03/18/2016,32
PARK,12/26/2016,16
NORTHERN,04/05/2016,55
NORTHERN,12/21/2016,42
MISSION,02/06/2016,51
CENTRAL,09/21/2016,36
CENTRAL,10/22/2016,45
BAYVIEW,12/26/2016,25
TARAVAL,01/13/2016,30
RICHMOND,09/23/2016,29
TENDERLOIN,05/26/2016,23
TENDERLOIN,09/11/2016,22
MISSION,02/16/2016,64
PARK,10/15/2016,19
MISSION,06/25/2016,73
CENTRAL,07/05/2016,40
NORTHERN,05/08/2016,24
CENTRAL,04/11/2016,41
BAYVIEW,05/08/2016,50
SOUTHERN,09/13/2016,79
TENDERLOIN,11/16/2016,29
RICHMOND,01/18/2016,24
INGLESIDE,03/08/2016,38
SOUTHERN,01/05/2016,43
RICHMOND,08/02/2016,18
PARK,04/05/2016,17
PARK,12/21/2016,21
INGLESIDE,10/26/2016,40
NORTHERN,12/26/2016,45
RICHMOND,01/25/2016,30
MISSION,08/26/2016,42
CENTRAL,05/25/2016,53
SOUTHERN,08/19/2016,65
TARAVAL,07/06/2016,28
BAYVIEW,12/21/2016,32
BAYVIEW,04/05/2016,32
TENDERLOIN,10/31/2016,35
TENDERLOIN,08/11/2016,38
TENDERLOIN,02/20/2016,25
