PdDistrict,Date,IncidntNum
NORTHERN,09/15/2016,59
MISSION,10/12/2016,68
INGLESIDE,06/07/2016,16
PARK,12/09/2016,23
MISSION,08/25/2016,69
PARK,05/13/2016,30
SOUTHERN,11/10/2016,99
TENDERLOIN,05/06/2016,25
BAYVIEW,11/20/2016,36
MISSION,09/24/2016,63
BAYVIEW,10/16/2016,34
MISSION,08/07/2016,64
BAYVIEW,09/20/2016,47
PARK,01/31/2016,37
RICHMOND,03/19/2016,21
NORTHERN,07/30/2016,52
PARK,09/20/2016,21
BAYVIEW,01/31/2016,32
INGLESIDE,11/18/2016,29
INGLESIDE,09/03/2016,26
INGLESIDE,12/08/2016,35
BAYVIEW,05/13/2016,32
CENTRAL,09/19/2016,36
BAYVIEW,12/09/2016,34
SOUTHERN,07/02/2016,57
MISSION,03/20/2016,47
MISSION,11/12/2016,63
SOUTHERN,01/03/2016,51
MISSION,01/17/2016,53
PARK,11/20/2016,12
RICHMOND,12/03/2016,15
NORTHERN,04/02/2016,50
TENDERLOIN,10/02/2016,24
PARK,10/16/2016,22
INGLESIDE,08/11/2016,40
INGLESIDE,02/20/2016,31
INGLESIDE,10/31/2016,25
TARAVAL,09/20/2016,34
NORTHERN,12/24/2016,69
TARAVAL,10/16/2016,19
TARAVAL,11/20/2016,33
SOUTHERN,01/24/2016,65
NORTHERN,03/28/2016,55
TENDERLOIN,03/08/2016,32
MISSION,11/01/2016,64
CENTRAL,07/31/2016,71
INGLESIDE,11/16/2016,38
MISSION,06/19/2016,67
TARAVAL,12/09/2016,29
CENTRAL,02/23/2016,39
TARAVAL,05/13/2016,20
CENTRAL,03/01/2016,50
SOUTHERN,11/29/2016,69
CENTRAL,08/09/2016,46
MISSION,01/11/2016,35
RICHMOND,10/18/2016,22
CENTRAL,02/17/2016,47
CENTRAL,07/11/2016,61
RICHMOND,11/22/2016,26
TARAVAL,01/31/2016,20
TENDERLOIN,10/26/2016,28
NORTHERN,08/30/2016,41
TARAVAL,09/09/2016,28
MISSION,01/01/2016,69
MISSION,10/29/2016,52
RICHMOND,07/14/2016,12
TENDERLOIN,11/23/2016,34
SOUTHERN,08/05/2016,71
CENTRAL,12/29/2016,47
MISSION,01/06/2016,42
TARAVAL,04/03/2016,29
MISSION,05/14/2016,46
PARK,07/26/2016,33
RICHMOND,04/09/2016,22
SOUTHERN,08/23/2016,71
SOUTHERN,10/28/2016,86
MISSION,03/22/2016,55
CENTRAL,11/05/2016,50
RICHMOND,06/01/2016,34
INGLESIDE,01/04/2016,36
INGLESIDE,08/24/2016,26
TARAVAL,08/20/2016,20
TENDERLOIN,01/14/2016,44
NORTHERN,02/24/2016,45
BAYVIEW,07/26/2016,51
CENTRAL,09/30/2016,42
INGLESIDE,03/23/2016,34
